Change Component DesignItemId : Designator=U2 Old DesignItemId=4 New DesignItemId=4514
Change Component DesignItemId : Designator=U7 Old DesignItemId=74LS New DesignItemId=74LS241
Change Component DesignItemId : Designator=U8 Old DesignItemId=74LS New DesignItemId=74LS241
Change Component DesignItemId : Designator=U9 Old DesignItemId=AT24C0 New DesignItemId=AT24C02
Change Component DesignItemId : Designator=IC4 Old DesignItemId=DS1 New DesignItemId=DS1302
Change Component DesignItemId : Designator=S1 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S2 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S3 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S4 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S5 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S6 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S7 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S8 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S9 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S10 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S11 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S12 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=S13 Old DesignItemId=K New DesignItemId=KEY4
Change Component DesignItemId : Designator=X1 Old DesignItemId=XT New DesignItemId=XTAL1
Change Component DesignItemId : Designator=U10 Old DesignItemId=YX5P New DesignItemId=YX5P055
Change Component Description : Designator=U9 Old Description= New Description=U?
Change Component Description : Designator=U1 Old Description=8-Bit Microcontroller with 8K Flash New Description=8-Bit Microcontroller with 8K Flash ROM
Change Component Description : Designator=C4 Old Description=Capaci New Description=Capacitor
Change Component Description : Designator=C7 Old Description=Capaci New Description=Capacitor
Change Component Description : Designator=J1 Old Description=Connec New Description=Connector
Change Component Description : Designator=J2 Old Description=Connec New Description=Connector
Change Component Description : Designator=J3 Old Description=Connec New Description=Connector
Change Component Description : Designator=J4 Old Description=Connec New Description=Connector
Change Component Description : Designator=J5 Old Description=Connec New Description=Connector
Change Component Description : Designator=P1 Old Description=Connec New Description=Connector
Change Component Description : Designator=U6 Old Description=CP-SN4605 New Description=CP-SN460561K
Change Component Description : Designator=U3 Old Description=CP-SR4205 New Description=CP-SR420561K
Change Component Description : Designator=U4 Old Description=CP-SR4205 New Description=CP-SR420561K
Change Component Description : Designator=U5 Old Description=CP-SR4205 New Description=CP-SR420561K
Change Component Description : Designator=Y1 Old Description=Crys New Description=Crystal
Change Component Description : Designator=BT1 Old Description=Multicell Batt New Description=Multicell Battery
Change Component Description : Designator=R9 Old Description=resis New Description=resistor
Added Room: Name=Ö÷°å
